title,place_id,rating,reviews,price,type,ZonaSP,address,latitude,longitude,open_state,description,thumbnail,sunday,monday,tuesday,wednesday,thursday,friday,saturday,inicio,fim,aberto_dia_util(%),aberto_final_de_semana(%),madrugada,manha,tarde,noite,inicio_periodo,fim_periodo,dine_in,takeout,delivery,drive_through,Cluster
Gafieira Elite,ChIJVczDnG5_mQAR3CVq417Q60E,4.0,165.0,0,night club,Outro,"R. Frei Caneca, 4 - Centro, Rio de Janeiro - RJ, 20211-030, Brazil",-22.9089279,-43.1890716,Closed ⋅ Opens 11 PM,"Traditional dancing in an old townhouse. Established in 1930, this dance hall in a historic townhouse is full of energy, with music & beer.",https://lh5.googleusercontent.com/p/AF1QipNjSsX_HHF2GKaeJJyOmsrXl1B8HsyKerrvIRpY=w153-h92-k-no,0,0,0,0,0,1,1,23.0,5.0,0.0,66.7,0.0,0.0,0.0,17.0,noite,madrugada,1,0,0,0,11.0
Casa da Luz,ChIJI94MGllYzpQRoicvXcYKPgU,4.4,131.0,5,night club,Centro,"R. Mauá, 512 - Centro Histórico de São Paulo, São Paulo - SP, 01028-000, Brazil",-23.5356065,-46.6349967,Closed ⋅ Opens 11 PM,,https://lh5.googleusercontent.com/p/AF1QipMDQDb7z5iW6sMx151DR3VjS9keJquFYRI1W9nu=w138-h92-k-no,0,0,1,1,1,1,1,23.0,5.0,75.0,66.7,0.0,0.0,0.0,17.0,noite,madrugada,0,0,0,0,3.0
A Autêntica,ChIJjzFUUdqZpgARxwoXFkHHaXg,4.3,306.0,1,night club,Outro,"R. Álvares Maciel, 312 - Santa Efigênia, Belo Horizonte - MG, 30150-250, Brazil",-19.924302,-43.9225531,Closed ⋅ Opens 8 PM,"A night club hosting alternative bands. A lively night club that offers beer, appetizers & live independent music.",https://lh5.googleusercontent.com/p/AF1QipOtL9lK5086M944pxqUpOqp0mQGxMEddE14gsVi=w122-h92-k-no,1,0,0,0,1,1,1,20.0,3.0,25.0,100.0,0.0,0.0,0.0,68.0,noite,madrugada,1,0,1,0,9.0
Morrison Rock Bar,ChIJT-kBfqJXzpQRP3AuFMGH6RU,4.6,3868.0,1,night club,Oeste,"R. Fidalga, 531 - Pinheiros, São Paulo - SP, 05432-070, Brazil",-23.5551443,-46.6909,Closed ⋅ Opens 9 PM,"A 3-story bar that hosts rock bands. Spacious 3-story bar with appetizers & lively rock concerts, open Thursday to Saturday nights.",https://lh5.googleusercontent.com/p/AF1QipPEQ-NGUpap1YLZJcXhID-JCrut-6bIbWmIupAv=w194-h92-k-no,0,0,0,0,1,1,1,21.0,4.0,25.0,66.7,0.0,0.0,0.0,51.0,noite,madrugada,1,0,0,0,6.0
Roxinho,ChIJsfa6YkpYzpQRCz_kU9xwLJ8,4.3,992.0,1,bar,Centro,"R. Augusta, 472 - Consolação, São Paulo - SP, 01304-000, Brazil",-23.5513208,-46.6505816,Closed ⋅ Opens 5 PM,"Vibrant hangout with rock music & beer. Mixed drinks, beer & small plates in an upbeat venue with dark decor, pool tables & live rock shows.",https://lh5.googleusercontent.com/p/AF1QipMrn6g5zJb_E5BtPjnZgeI_hKENkBkjLKyXvyI9=w80-h106-k-no,1,0,0,1,1,1,1,17.0,5.0,50.0,100.0,0.0,0.0,28.0,85.0,tarde,madrugada,1,1,1,0,0.0
Mistura Certa Clube,ChIJySdWhW5_mQARTF3M0I4Ta58,4.3,261.0,1,night club,Outro,"R. Vinte de Abril, 9 - Centro, Rio de Janeiro - RJ, 20231-020, Brazil",-22.9093317,-43.1885409,Closed ⋅ Opens 10 PM,"An intimate club for open-minded couples. A luxurious swingers' club with a dance floor, DJs & more, plus private rooms & a VIP area.",https://lh5.googleusercontent.com/p/AF1QipM8lyfwhuDieLDcmpZ07IUfbXgXZKYbmT73VYl3=w137-h92-k-no,1,0,0,0,1,1,1,22.0,4.0,25.0,100.0,0.0,0.0,0.0,34.0,noite,madrugada,1,0,0,0,2.0
Freedom Club BH,ChIJnyKa4UiQpgARtyN_4wFN96M,4.4,1219.0,1,night club,Outro,"Av. Pres. Tancredo Neves, 5099 - Castelo, Belo Horizonte - MG, 31330-430, Brazil",-19.8721856,-43.9951502,Closed ⋅ Opens 10 PM,,https://lh5.googleusercontent.com/p/AF1QipOS9OM96bwT_X0Qg4SHXqXlyO-kV6Q-Ov2P84f7=w80-h106-k-no,1,0,0,1,1,1,1,22.0,5.5,50.0,100.0,0.0,0.0,0.0,34.0,noite,madrugada,1,0,0,0,14.0
Ibiza Lounge Beer,ChIJUcQfkKh8mQARxvcIde7fnB0,4.4,1441.0,1,restaurant,Outro,"Estrada Padre Roser, 765 - Vila da Penha, Rio de Janeiro - RJ, 21220-560, Brazil",-22.8421441,-43.320367,Closed ⋅ Opens 4 PM,,https://lh5.googleusercontent.com/p/AF1QipOI_q9fnKt6C-iHOFnZRp4rAiMbky9vwOYVS16l=w138-h92-k-no,1,1,1,1,1,1,1,16.0,2.0,100.0,100.0,0.0,0.0,42.0,85.0,tarde,madrugada,1,1,0,0,10.0
Heavy House,ChIJ8yllCuBXzpQRSLqthbvqDKQ,4.4,491.0,1,bar,Oeste,"Rua Benjamim Egas, 297 - Pinheiros, São Paulo - SP, 01452-020, Brazil",-23.5665212,-46.6890295,Closed ⋅ Opens 4 PM,"Laid-back bar with a trendy vibe. Relaxed watering hole with a hip ambiance & outdoor seating, serving cocktails & small plates.",https://lh5.googleusercontent.com/p/AF1QipMLBnU5PYDwnzTgB_zPzrWy4he2E07lz51Doi4f=w137-h92-k-no,1,0,0,1,1,1,1,12.0,1.0,50.0,100.0,0.0,0.0,100.0,85.0,tarde,madrugada,1,1,0,0,15.0
Bar do Baixo,ChIJO1qpJJlXzpQRHSVV9VFI3Nc,4.4,2571.0,1,bar,Oeste,"R. Girassol, 67 - Pinheiros, São Paulo - SP, 03178-200, Brazil",-23.5578612,-46.6876174,Closed ⋅ Opens 3 PM,"Buzzy bar with live music & dancing. Drinks, bar food & live samba music at a standing-only venue with an alternative vibe.",https://lh5.googleusercontent.com/p/AF1QipNve4h8V5ozLO2xjlm9nBqrMOFl1ElzOPOdq81c=w122-h92-k-no,1,0,0,1,1,1,1,18.0,5.0,50.0,100.0,0.0,0.0,13.0,85.0,tarde,madrugada,1,1,1,0,4.0
Backyard of Jabu,ChIJ5YscGgWapgARt47j1cQ3y04,4.3,447.0,5,bar,Outro,"R. Itamaracá, 296 - Concórdia, Belo Horizonte - MG, 31110-580, Brazil",-19.9038911,-43.9356463,,,https://lh5.googleusercontent.com/p/AF1QipNiwwaJL40r4q0ytxMlOQ0jCgfFFE5Cgnd7fenT=w122-h92-k-no,1,1,1,1,1,1,1,,,100.0,100.0,0.0,0.0,0.0,0.0,,,1,0,0,0,
Vila 567,ChIJZcz1saJXzpQRqvNJp-gRvDY,4.0,3249.0,1,bar,Oeste,"R. Aspicuelta, 567 - Vila Madalena, São Paulo - SP, 05433-011, Brazil",-23.5584103,-46.690513,Closed ⋅ Opens 12 PM,"Lively bar with DJs & a rooftop terrace. Multi-level watering hole for live music, happy hour & DJ sets, plus a buzzy rooftop terrace.",https://lh5.googleusercontent.com/p/AF1QipMK-8BwrH0lUGCZVO3O32wwaLmqaeknG2pcEFEZ=w138-h92-k-no,1,0,1,0,1,1,1,17.0,5.0,50.0,100.0,0.0,0.0,28.0,85.0,tarde,madrugada,1,1,0,0,0.0
Dobrucki,ChIJXyAQqFjk3JQRmZNhWGe795A,4.5,1382.0,1,bar,Outro,"R. Baltazar Carrasco dos Reis, 1090 - Rebouças, Curitiba - PR, 80215-160, Brazil",-25.4457741,-49.2583259,Closed ⋅ Opens 12 PM,Bar & burger joint with live music. Laid-back themed locale hosting live rock & blues shows & offering gourmet burgers.,https://lh5.googleusercontent.com/p/AF1QipNIh_1uz242gkLbM3rTzTIYYHzzm7UHYs3VGT0R=w138-h92-k-no,1,0,0,0,1,1,1,18.0,3.0,25.0,100.0,0.0,0.0,13.0,85.0,tarde,madrugada,1,0,0,0,0.0
Le Rêve Club,ChIJgx608EpYzpQRBtllqI9avlo,4.4,459.0,1,night club,Centro,"R. Marquês de Paranaguá, 329 - Consolação, São Paulo - SP, 01303-050, Brazil",-23.5512475,-46.6493694,Closed ⋅ Opens 10:30 PM,"EDM in a sophisticated retro club. An upscale EDM club that plays old-school hits, with 3 themed rooms & gourmet cuisine.",https://lh5.googleusercontent.com/p/AF1QipOVNLs3f8d6nQ00kKa3al4lf6bvYHDclJVS4I3F=w138-h92-k-no,0,0,0,0,0,0,1,22.5,5.0,0.0,33.3,0.0,0.0,0.0,25.0,noite,madrugada,1,0,0,0,1.0
Sambarylove,ChIJ6dJR7LNZzpQRvoyr3wh82AE,4.2,87.0,5,night club,Centro,"R. Rui Barbosa, 42 - Bela Vista, São Paulo - SP, 01326-010, Brazil",-23.5558328,-46.6458981,Closed ⋅ Opens 10 PM Fri,"Nightclub specializing in black music. A nightclub hosting ""party nights"" to the sound of black music, ragga & samba.",https://lh5.googleusercontent.com/p/AF1QipPVlVuEZBhZnfn9ctI4uFLNw5UdXZxhD82VJuxU=w163-h92-k-no,0,0,0,0,0,1,0,22.0,5.0,0.0,33.3,0.0,0.0,0.0,34.0,noite,madrugada,0,0,0,0,3.0
Aloka Club,ChIJ34mKQENZzpQRTl78XjT9X-w,4.1,256.0,5,night club,Centro,"R. Frei Caneca, 916 - Consolação, São Paulo - SP, 01307-002, Brazil",-23.5549032,-46.6559112,Closed ⋅ Opens 10 PM,,https://lh5.googleusercontent.com/p/AF1QipPi2ouXSBX4VUCUIwpH13EZSdmS712b023c5WSz=w138-h92-k-no,1,0,0,0,0,1,1,22.0,5.0,0.0,100.0,0.0,0.0,0.0,34.0,noite,madrugada,0,0,0,0,7.0
D-Edge,ChIJZ_yXOAVYzpQRI3IRPmdtesc,4.3,753.0,2,night club,Oeste,"Av. Mário de Andrade, 141 - Barra Funda, São Paulo - SP, 01156-001, Brazil",-23.5281458,-46.6620878,,"Modern dance floor & famous DJs. This dance club enhances the sensory experience with elaborate lighting, design & the latest hits.",https://lh5.googleusercontent.com/p/AF1QipNCIpG7Kg0KM-s6DK5IZAGYBK7i8MBl4YmltERl=w80-h119-k-no,1,1,1,1,1,1,1,,,100.0,100.0,0.0,0.0,0.0,0.0,,,1,0,0,0,
The History,ChIJr_bVw01XzpQRhJKWRLY5xUk,4.6,4130.0,2,night club,Oeste,"R. Gomes de Carvalho, 820 - Vila Olímpia, São Paulo - SP, 04547-003, Brazil",-23.5987215,-46.6813653,Closed ⋅ Opens 10 PM,A disco-themed club. A disco-themed club with underground dance-floor lighting & a 7-foot shiny disco ball.,https://lh5.googleusercontent.com/p/AF1QipNMGwIE4jHrMou_96bN0OxzrGE0rbVVB9EXKVbW=w95-h92-k-no,0,0,0,0,1,0,1,22.0,5.0,25.0,33.3,0.0,0.0,0.0,34.0,noite,madrugada,1,0,0,0,3.0
Trash 80's,ChIJQ5g5Hvr-zpQR8viZm2DQv5s,4.4,280.0,1,night club,Centro,"R. Álvaro de Carvalho, 35 - Centro Histórico de São Paulo, São Paulo - SP, 01050-070, Brazil",-23.548578,-46.640694,Closed ⋅ Opens 11 PM,"A vibrant '80s-themed nightclub. A lively, upbeat club with '80s music, '80s-themed parties, DJs, bands & caipirinhas.",https://lh5.googleusercontent.com/p/AF1QipO3GjzxWBIFNInPcDIBVuQXJHbQosvYbBdIUQCe=w138-h92-k-no,0,0,0,0,0,0,1,23.0,5.0,0.0,33.3,0.0,0.0,0.0,17.0,noite,madrugada,1,0,0,0,1.0
Villa JK,ChIJc_P5QDhXzpQR_eAPwnjUixI,3.7,1252.0,2,night club,Oeste,"R. Beira Rio, 116 - Vila Olímpia, São Paulo - SP, 04548-050, Brazil",-23.5949424,-46.6914175,Closed ⋅ Opens 10 PM,A modern spot for country & sertanejo. Spacious & lively sertanejo & country-music bar with multiple dance floors & intimate seating areas.,https://lh5.googleusercontent.com/p/AF1QipOAjQvW5L3ovvxBdQQ0aIIszQ3g1Qnc7VyzMmNo=w122-h92-k-no,0,0,0,1,0,1,1,22.0,5.0,25.0,66.7,0.0,0.0,0.0,34.0,noite,madrugada,1,0,0,0,10.0
Club A,ChIJl3OhTHNazpQRUueGnv3QGZo,4.3,411.0,1,night club,Sul,"Alameda dos Aicás, 1642 - Indianópolis, São Paulo - SP, 04086-003, Brazil",-23.6156086,-46.6648034,,"Large dance club with an outdoor area. A huge, hip nightclub with multiple DJs, 2 dance floors, 4 bars, a lounge & outdoor area.",https://lh5.googleusercontent.com/p/AF1QipPMIvhvsL4XgdvbtDtGY3Tg424Ajm0zft5G8-Nb=w138-h92-k-no,1,1,1,1,1,1,1,,,100.0,100.0,0.0,0.0,0.0,0.0,,,1,0,0,0,
Over Night,ChIJ09v2kU1XzpQR5lbn6OS9KtM,4.2,801.0,2,night club,Oeste,"R. Gomes de Carvalho, 799 - Vila Olímpia, São Paulo - SP, 04547-003, Brazil",-23.5991443,-46.6813491,Closed ⋅ Opens 10 PM,"A club that plays old-school hits & more. A large, modern club with guest DJs who spin old-school hits, EDM & more.",https://lh5.googleusercontent.com/p/AF1QipPlsI1Xd-uBoj2yxr0jrWvWTBAO4qny0u9U6sds=w138-h92-k-no,0,0,0,0,0,1,1,22.0,5.0,0.0,66.7,0.0,0.0,0.0,34.0,noite,madrugada,1,0,0,0,11.0
Bulls Club,ChIJtwce8MZezpQRTdhs19tfKFM,4.2,669.0,1,night club,Leste,"Av. Salim Farah Maluf, 1500 - Tatuapé, São Paulo - SP, 03304-090, Brazil",-23.5447159,-46.5808368,Closed ⋅ Opens 10 PM,"A big dance club with a garden & pond. Dance floors for different musical styles, a big tent outdoors with a garden, a pond & a waterfall.",https://lh5.googleusercontent.com/p/AF1QipN7L8laXzXWrsWJNgcGsdy-wDh09MY7YuWQhySE=w122-h92-k-no,0,0,0,0,0,1,1,22.0,5.0,0.0,66.7,0.0,0.0,0.0,34.0,noite,madrugada,1,0,0,0,11.0
80's Club,ChIJqR92PqJXzpQRbTvR5vyiXWs,2.9,16.0,5,night club,Oeste,"R. Turiassu, 806 - Perdizes, São Paulo - SP, 05005-000, Brazil",-23.532558,-46.6707981,Closed ⋅ Opens 10 PM,"An 1980s throwback bar. This 1980s-themed club has DJs, a dance floor, retro décor & specialty drinks.",https://lh5.googleusercontent.com/p/AF1QipN-QrXt5FnjFXpvHbTg4K0UmXwE-J_-BLb-edEa=w138-h92-k-no,0,0,0,0,0,0,1,22.0,5.5,0.0,33.3,0.0,0.0,0.0,34.0,noite,madrugada,1,0,0,0,3.0
Villa Country,ChIJ15-r_QJYzpQRiei5zjngGY8,4.5,13084.0,1,night club,Oeste,"Av. Francisco Matarazzo, 774 - Água Branca, São Paulo - SP, 05001-000, Brazil",-23.5280644,-46.6701941,,"Country music with a Wild West vibe. Wild West-themed bar & club across a series of rooms, with live country music & large dance floors.",https://lh5.googleusercontent.com/p/AF1QipPCh7mjdq-a0ponnK3y85EvY-MD9J38sZPzkhAy=w138-h92-k-no,1,1,1,1,1,1,1,,,100.0,100.0,0.0,0.0,0.0,0.0,,,1,0,0,0,
Milo Garage,ChIJq68HLixYzpQRmXfQiYFHxRU,4.3,506.0,0,night club,Oeste,"Av. Pompéia, 1681 - Pompeia, São Paulo - SP, 05023-001, Brazil",-23.5382533,-46.6904128,Closed ⋅ Opens 10:30 PM,"Underground spot for funk, soul & rock. DJs play EDM, indie rock, funk & more at a club with an underground vibe & graffiti on the walls.",https://lh5.googleusercontent.com/p/AF1QipPpbbKj70bH8qx_qwF96DJKuIKuZwEvfr_liUpI=w138-h92-k-no,0,0,0,0,0,1,1,22.5,5.75,0.0,66.7,0.0,0.0,0.0,25.0,noite,madrugada,1,0,0,0,11.0
Casa 92,ChIJV4qxWqFXzpQR58H3mxjmxEk,4.2,306.0,3,night club,Oeste,"R. Cristóvão Gonçalves, 92 - Pinheiros, São Paulo - SP, 05426-050, Brazil",-23.5641667,-46.6941667,Permanently closed,"A nightclub & bar with retro décor. A simple yet exotic venue with quaint, retro décor, where the DJs keep everyone on the dance floor.",https://lh5.googleusercontent.com/p/AF1QipMdtn8qA2xecjAuOuMJf-9E4BBT1VDRdSk3Tic=w122-h92-k-no,0,0,0,0,1,1,1,22.5,5.0,25.0,66.7,0.0,0.0,0.0,25.0,noite,madrugada,0,0,0,0,10.0
Bar To Zé - Bar da Lôca,ChIJ_aELsDRYzpQR2boY1UqrQiQ,4.1,1998.0,1,bar,Centro,"Rua Peixoto Gomide, 106 - Jardim Paulista, São Paulo - SP, 01409-000, Brazil",-23.5547896,-46.6555416,Open ⋅ Closes 1 am,,https://lh5.googleusercontent.com/p/AF1QipMeb2S-nLP-uh3j8vaIhfhoNBHxqb7dzRWC6k-o=w122-h92-k-no,1,1,1,1,1,1,1,6.0,1.0,100.0,100.0,0.0,100.0,100.0,85.0,manha,madrugada,1,1,1,0,10.0
Alberta #3,ChIJhe5DwE1YzpQRPTzYvyfkoKw,4.2,516.0,2,night club,Centro,"Av. São Luís, 272 - República, São Paulo - SP, 01046-000, Brazil",-23.5475015,-46.6430095,Permanently closed,A rock 'n' roll club & cocktail bar. Acoustic rock nightclub in an intimate setting with low lighting & a cosmopolitan vibe.,https://lh5.googleusercontent.com/p/AF1QipO3JYlFpL8JZQpP21iKA_LMY8zS4SFnBW3w9F-W=w138-h92-k-no,0,0,0,1,1,1,1,16.0,1.0,50.0,66.7,0.0,0.0,42.0,85.0,tarde,madrugada,0,0,0,0,12.0
BECO XX,ChIJXYUtQ6pXzpQRq5z7M3skhRc,3.2,26.0,5,bar,Oeste,"R. Aspicuelta, 444 - Alto de Pinheiros, São Paulo - SP, 05433-010, Brazil",-23.557512,-46.6897196,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NSavz8cM-mY7wSM2zemRlg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=320.10513&pitch=0&thumbfov=100,1,1,1,1,1,1,1,,,100.0,100.0,0.0,0.0,0.0,0.0,,,1,0,0,0,
Tonton Jazz & Music Bar - Pub em Moema,ChIJdTB0nQlazpQRshY29X8OS00,4.2,1578.0,1,bar,Sul,"Alameda dos Pamaris, 55 - Moema, São Paulo - SP, 04086-020, Brazil",-23.6115837,-46.6679675,Closed ⋅ Opens 7 pm,"Laid-back music club & bistro. Rustic, pub-like locale featuring live music, drinks & a menu of casual French & Italian bites.",https://lh5.googleusercontent.com/p/AF1QipP529rZv6Umrw83rZNMBJ3rTTz6byx6bnv3I8tV=w163-h92-k-no,1,0,1,1,1,1,1,19.0,2.0,75.0,100.0,0.0,0.0,0.0,85.0,noite,madrugada,1,1,0,0,7.0
Bar e Lanchonete MK,ChIJMdl8jq1EzpQR2h0SmlrMomE,4.3,1540.0,1,bar,Sul,"Rua Giovanni da Conegliano, 50 - Vila Liviero, São Paulo - SP, 04186-020, Brazil",-23.6500337,-46.59767,Closed ⋅ Opens 9 PM,,https://lh5.googleusercontent.com/p/AF1QipNAOo7nd_W5XtjdlyTIoKI7_NIbTQ4fCdD6eG0D=w138-h92-k-no,1,0,0,0,0,1,1,21.0,3.0,0.0,100.0,0.0,0.0,0.0,51.0,noite,madrugada,1,0,0,0,9.0
Casa Híbrida,ChIJXb-R75RXzpQRXn35q6fNgBE,4.6,585.0,5,bar,Oeste,"Av. Dr. Arnaldo, 1620 - Sumaré, São Paulo - SP, 01255-000, Brazil",-23.5498225,-46.6791761,Closed ⋅ Opens 12 PM,"Lively bar with comfort food & a pool. Bustling bar with an outdoor pool offering beers & cocktails, plus pasta, pastries & broths.",https://lh5.googleusercontent.com/p/AF1QipOvOm5A45Hi-Oj7jQ9BV3CERxnNoRcbwk8YEvis=w138-h92-k-no,1,0,0,0,0,1,1,16.0,24.0,0.0,100.0,0.0,0.0,42.0,85.0,tarde,noite,1,1,1,0,9.0
Lola Bar,ChIJQcHsYBVZzpQR3vt6GRe-Sew,4.6,333.0,5,bar,Centro,"R. Brg. Galvão, 469 - Barra Funda, São Paulo - SP, 01151-000, Brazil",-23.5314021,-46.6564248,Closed ⋅ Opens 5 PM,,https://lh5.googleusercontent.com/p/AF1QipPRK23m3ieJF1myM4o4cWkdSywzmRAY5P4bIgBl=w122-h92-k-no,1,0,0,1,1,1,1,17.0,1.0,50.0,100.0,0.0,0.0,28.0,85.0,tarde,madrugada,1,1,1,0,2.0
Lapeju,ChIJjUVtrzRYzpQRkWF61KLipPU,4.4,332.0,1,bar,Centro,"R. Frei Caneca, 892 - Consolação, São Paulo - SP, 01307-002, Brazil",-23.5549186,-46.655641,Closed ⋅ Opens 8 PM,,https://lh5.googleusercontent.com/p/AF1QipOYP8pZYtkxH2wZxAb3It_lLL6OYCQpoGNwUG2A=w122-h92-k-no,1,0,0,0,1,1,1,20.0,6.0,25.0,100.0,0.0,0.0,0.0,68.0,noite,manha,1,0,0,0,9.0
380,ChIJ-w2Y8nhZzpQRog3UjnVSbV8,3.8,20.0,5,night club,Centro,"R. Álvaro de Carvalho, 380 - Centro Histórico de São Paulo, São Paulo - SP, 01050-070, Brazil",-23.5493246,-46.6437719,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XphHQSfavWbKAAzC0FvWmw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=28.777822&pitch=0&thumbfov=100,1,1,1,1,1,1,1,,,100.0,100.0,0.0,0.0,0.0,0.0,,,0,0,0,0,
Boteco Pratododia,ChIJv7noHRVYzpQRNyXZKARsPS0,4.6,612.0,0,night club,Centro,"R. Barra Funda, 34 - Barra Funda, São Paulo - SP, 01152-000, Brazil",-23.5330984,-46.6527691,Temporarily closed,"A cozy club with an underground vibe. An underground nightspot with album covers on the wall, DJs, a dance floor & eclectic music.",https://lh5.googleusercontent.com/p/AF1QipPepeW2UXqmQ0mXzw5KzTElIdxxTukeAlPzZYgd=w122-h92-k-no,0,0,0,0,1,1,1,23.0,3.0,25.0,66.7,0.0,0.0,0.0,17.0,noite,madrugada,0,0,0,0,10.0
Santa Cana,ChIJl0BEJrL3zpQRLl_RGumTKyc,4.4,1014.0,1,bar,Norte,"Av. Eng. Caetano Álvares, 5482 - Santana, São Paulo - SP, 02413-100, Brazil",-23.483999,-46.6364828,Closed ⋅ Opens 12 PM,"Cozy bar with music, snacks & a terrace. Finger food, beer & live music at this small local bar with wooden outdoor tables & a mezzanine.",https://lh5.googleusercontent.com/p/AF1QipM9LoOO9ETusYf3FoJkELV07WkMR4-VONmLybui=w163-h92-k-no,1,1,1,1,1,1,1,16.0,24.0,100.0,100.0,0.0,0.0,42.0,85.0,tarde,noite,1,1,0,0,13.0
Start Lounge,ChIJCxCekuX3zpQRSMB181TMXqU,3.9,66.0,5,bar,Norte,"Av. Eng. Caetano Álvares, 3013 - Imirim, São Paulo - SP, 02413-100, Brazil",-23.4918217,-46.6573599,Closed ⋅ Opens 10 PM,,https://lh5.googleusercontent.com/p/AF1QipM6RFPoAfTUE8c17KSkH8JS6w39YtM48eYuwLLz=w138-h92-k-no,1,0,0,1,1,1,1,22.0,5.0,50.0,100.0,0.0,0.0,0.0,34.0,noite,madrugada,1,0,0,0,14.0
Oh Freguês,ChIJAbS_yE_4zpQRmCkr3mognyI,4.2,2358.0,1,bar,Oeste,"Largo da Matriz de Nossa Senhora do Ó, 145 - Freguesia do Ó, São Paulo - SP, 02925-040, Brazil",-23.5021729,-46.6989521,Closed ⋅ Opens 12 PM,,https://lh5.googleusercontent.com/p/AF1QipNzZHOvbJcgKdKWDUMFy9wDDeTipie2eB-1QGb8=w122-h92-k-no,1,0,0,0,0,1,1,18.0,3.0,0.0,100.0,0.0,0.0,13.0,85.0,tarde,madrugada,1,1,0,0,9.0
Bourbon Street Music Club,ChIJS4XuOgpazpQR84vpvrjCwkM,4.7,3930.0,2,night club,Sul,"R. dos Chanes, 127 - Moema, São Paulo - SP, 04087-031, Brazil",-23.6126576,-46.668912,Closed ⋅ Opens 12 PM,"Live jazz & blues in mellow surrounds. Old-school venue decorated with musical instruments, hosting jazz & blues nights.",https://lh5.googleusercontent.com/p/AF1QipNgje5tuy1QoIZRC-C-IohQYMvtJ8q-NSh-Ka6d=w122-h92-k-no,1,0,1,1,1,1,1,19.0,2.0,75.0,100.0,0.0,0.0,0.0,85.0,noite,madrugada,1,0,0,0,7.0
Hope Lounge Bar,ChIJtZGtNM33zpQRiuF4UYVq0D8,4.3,36.0,5,bar,Norte,"Av. Luiz Dumont Villares, 655 - Jardim São Paulo, São Paulo - SP, 02085-100, Brazil",-23.4960186,-46.6123462,Closed ⋅ Opens 8 AM Mon,,https://lh5.googleusercontent.com/p/AF1QipNU10UMqN6w4TtE7K6kS0ktvKB6zNJ_w2x-6LM-=w80-h131-k-no,0,1,1,1,1,1,0,8.0,14.0,100.0,33.3,0.0,66.0,29.0,0.0,manha,tarde,1,0,0,0,5.0
North Beer,ChIJLV_xVRb2zpQR19qsItE6bgk,4.4,3548.0,2,bar,Norte,"Av. Luiz Dumont Villares, 1543 - Parada Inglesa, São Paulo - SP, 02046-090, Brazil",-23.489655,-46.6103514,Opens soon ⋅ 11:45 AM,"Elegant bar & restaurant with a cellar. Draft beer in an elegant setting, with contemporary cuisine & old-style seats made from barrels.",https://lh5.googleusercontent.com/p/AF1QipPV2I-M1f9X5bqkI6GZM7RocnFvKOCa9nZH2X9y=w137-h92-k-no,1,1,1,1,1,1,1,15.75,1.5,100.0,100.0,0.0,0.0,46.0,85.0,tarde,madrugada,1,1,0,0,10.0
Villa Caetano's Bar,ChIJfxo8k6j3zpQRgpRzve5il5k,4.6,2864.0,1,bar,Norte,"Av. Eng. Caetano Álvares, 5550 - Imirim, São Paulo - SP, 02413-100, Brazil",-23.4835358,-46.6357713,Opens soon ⋅ 11:30 AM,,https://lh5.googleusercontent.com/p/AF1QipO3bXMogHyGeJtWVXwM7q-pE5efjUAbIQnxK-qf=w163-h92-k-no,1,0,1,1,1,1,1,11.5,1.0,75.0,100.0,0.0,7.0,100.0,85.0,manha,madrugada,1,1,0,0,8.0
Famoso Bar do Justo,ChIJCVlznCn2zpQRYFHFVczaPRk,4.3,5725.0,1,buffet restaurant,Norte,"R. Alferes Magalhães, 25/29 - Santana, São Paulo - SP, 02034-006, Brazil",-23.5050945,-46.6259804,Open ⋅ Closes 3 AM,"Appetizers, cold beer & happy hour. Appetizers like cod fritters & cold beer at happy hour in a relaxed setting.",https://lh5.googleusercontent.com/p/AF1QipNvx1ueHa46O8FoZrrZJWLsrZRkoSuvHW5zOVCe=w163-h92-k-no,1,1,1,1,1,1,1,11.0,3.0,100.0,100.0,0.0,15.0,100.0,85.0,manha,madrugada,1,1,0,0,7.0
Rufu's Bar,ChIJd96F8xb2zpQRCOeEwVzaR0M,4.4,975.0,1,bar,Norte,"Av. Luiz Dumont Villares, 1547 - Parada Inglesa, São Paulo - SP, 02239-000, Brazil",-23.4886699,-46.609917,Closed ⋅ Opens 4 PM,,https://lh5.googleusercontent.com/p/AF1QipNwrLIlMNxxq8mJ5V5ra3pxap7EJgMD2bkEoIYe=w163-h92-k-no,1,0,1,1,1,1,1,16.0,1.0,75.0,100.0,0.0,0.0,42.0,85.0,tarde,madrugada,1,1,1,0,2.0
Caetano's Bar,ChIJm57FD7H3zpQRfkel9qMKcCk,4.6,4519.0,1,bar,Norte,"Av. Eng. Caetano Álvares, 5496 - Mandaqui, São Paulo - SP, 02413-100, Brazil",-23.4839579,-46.6363494,Closed ⋅ Opens 12 PM,"Typical neighborhood meet-up spot. A quaint neighborhood bar with draft beer, bottled beer & a variety of caipirinhas.",https://lh5.googleusercontent.com/p/AF1QipOzCmrwniAgGrxdqJ5Xcc3kq3oZlgIjEJ1ovOsS=w122-h92-k-no,1,1,1,1,1,0,1,12.0,1.0,100.0,66.7,0.0,0.0,100.0,85.0,tarde,madrugada,1,1,0,0,8.0
